node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,mflop_s,mbytes_s
gauss3,roofline,linear_stencil_noedgecases,apply,128,2048,2048,2048,98044.6956,229663.8749
gauss3,roofline,linear_stencil_noedgecases,overall,128,2048,2048,2048,354450.5449,185223.1561
