node_id,bench_id,impl_id,func_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,runs,runtime,runtime_avg,efficiency
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,660,660,660,287496000,128,10,1.52517,0.15251699999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,640,640,640,262144000,128,10,1.30002,0.130002,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,620,620,620,238328000,128,10,1.24486,0.12448600000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,600,600,600,216000000,128,10,1.22041,0.122041,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,580,580,580,195112000,128,10,1.2367,0.12366999999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,560,560,560,175616000,128,10,0.996521,0.0996521,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,540,540,540,157464000,128,10,0.859098,0.08590980000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,520,520,520,140608000,128,10,0.731868,0.0731868,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,500,500,500,125000000,128,10,0.657802,0.0657802,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,480,480,480,110592000,128,10,0.63072,0.06307199999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,460,460,460,97336000,128,10,0.618926,0.0618926,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,440,440,440,85184000,128,10,0.537616,0.0537616,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,420,420,420,74088000,128,10,0.41238,0.041238000000000004,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,400,400,400,64000000,128,10,0.371355,0.0371355,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,380,380,380,54872000,128,10,0.290332,0.0290332,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,360,360,360,46656000,128,10,0.277449,0.0277449,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,340,340,340,39304000,128,10,0.265487,0.026548699999999998,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,320,320,320,32768000,128,10,0.265555,0.0265555,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,300,300,300,27000000,128,10,0.202993,0.0202993,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,280,280,280,21952000,128,10,0.16954,0.016954,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,260,260,260,17576000,128,10,0.115191,0.0115191,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,240,240,240,13824000,128,10,0.0931028,0.00931028,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,220,220,220,10648000,128,10,0.0892078,0.00892078,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,200,200,200,8000000,128,10,0.0754772,0.007547719999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,180,180,180,5832000,128,10,0.0463791,0.00463791,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,160,160,160,4096000,128,10,0.0351409,0.00351409,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,140,140,140,2744000,128,10,0.0293127,0.00293127,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,120,120,120,1728000,128,10,0.0211866,0.00211866,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,overall,100,100,100,1000000,128,10,0.0183923,0.00183923,1.0

gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1600,1600,1600,4096000000,128,10,16.193,1.6193000000000002,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1580,1580,1580,3944312000,128,10,14.563,1.4563000000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1560,1560,1560,3796416000,128,10,14.193,1.4193,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1540,1540,1540,3652264000,128,10,13.231,1.3231,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1520,1520,1520,3511808000,128,10,12.8641,1.28641,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1500,1500,1500,3375000000,128,10,12.797,1.2797,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1480,1480,1480,3241792000,128,10,12.764,1.2764,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1460,1460,1460,3112136000,128,10,11.753,1.1753,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1440,1440,1440,2985984000,128,10,11.08,1.108,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1420,1420,1420,2863288000,128,10,10.6977,1.0697699999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1400,1400,1400,2744000000,128,10,9.93258,0.993258,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1380,1380,1380,2628072000,128,10,9.874,0.9874,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1360,1360,1360,2515456000,128,10,9.823,0.9823000000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1340,1340,1340,2406104000,128,10,9.54301,0.9543010000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1320,1320,1320,2299968000,128,10,8.538,0.8538,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1300,1300,1300,2197000000,128,10,8.314,0.8314,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1280,1280,1280,2097152000,128,10,7.508,0.7508,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1260,1260,1260,2000376000,128,10,7.427,0.7426999999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1240,1240,1240,1906624000,128,10,7.37499,0.737499,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1220,1220,1220,1815848000,128,10,7.37998,0.7379979999999999,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1200,1200,1200,1728000000,128,10,6.465,0.6465,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1180,1180,1180,1643032000,128,10,6.19001,0.619001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1160,1160,1160,1560896000,128,10,5.79901,0.579901,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1140,1140,1140,1481544000,128,10,5.437,0.5437000000000001,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1120,1120,1120,1404928000,128,10,5.374,0.5374,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1100,1100,1100,1331000000,128,10,5.37129,0.537129,1.0
gauss3,e_efficiency_by_cells,nonlinear_precalc,precalc,apply,1080,1080,1080,1259712000,128,10,5.0153,0.50153,1.0
