time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,linear_stencil,5832000,180,1,0.1149849072098732
time_routine,linear_stencil,5832000,180,1,0.1396541194990277
time_apply,sparse_band_matrix,5832000,180,1,0.1024558087810874
time_routine,sparse_band_matrix,5832000,180,1,0.3504067668691278
time_apply,sparse_csr_matrix,5832000,180,1,0.2057515941560268
time_routine,sparse_csr_matrix,5832000,180,1,1.37889651209116
time_apply,linear_stencil,6859000,190,1,0.1364210303872824
time_routine,linear_stencil,6859000,190,1,0.1650603832677007
time_apply,sparse_band_matrix,6859000,190,1,0.1204689918085933
time_routine,sparse_band_matrix,6859000,190,1,0.4112862106412649
time_apply,sparse_csr_matrix,6859000,190,1,0.2416212754324079
time_routine,sparse_csr_matrix,6859000,190,1,1.620691234245896
time_apply,linear_stencil,8000000,200,1,0.1569206146523356
time_routine,linear_stencil,8000000,200,1,0.1903059976175427
time_apply,sparse_band_matrix,8000000,200,1,0.139658841304481
time_routine,sparse_band_matrix,8000000,200,1,0.4810237847268581
time_apply,sparse_csr_matrix,8000000,200,1,0.2804248286411166
time_routine,sparse_csr_matrix,8000000,200,1,1.889795444905758
time_apply,linear_stencil,9261000,210,1,0.1823210949078202
time_routine,linear_stencil,9261000,210,1,0.2206280035898089
time_apply,sparse_band_matrix,9261000,210,1,0.1655489886179566
time_routine,sparse_band_matrix,9261000,210,1,0.5638202764093876
time_apply,sparse_csr_matrix,9261000,210,1,0.3384634228423238
time_routine,sparse_csr_matrix,9261000,210,1,2.208133788779378
time_apply,linear_stencil,10648000,220,1,0.2086261995136738
time_routine,linear_stencil,10648000,220,1,0.2525477530434728
time_apply,sparse_band_matrix,10648000,220,1,0.1852834559977055
time_routine,sparse_band_matrix,10648000,220,1,0.6361002940684557
time_apply,sparse_csr_matrix,10648000,220,1,0.3739132042974234
time_routine,sparse_csr_matrix,10648000,220,1,2.516051847487688
time_apply,linear_stencil,12167000,230,1,0.2391775771975517
time_routine,linear_stencil,12167000,230,1,0.2890148749575019
