node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,runtime
gauss3,e_runtime_by_cells,linear_stencil,routine,820,820,820,551368000,1,8.61565
gauss3,e_runtime_by_cells,linear_stencil,apply,840,840,840,592704000,1,7.18864
gauss3,e_runtime_by_cells,linear_stencil,routine,840,840,840,592704000,1,8.96235
gauss3,e_runtime_by_cells,linear_stencil,apply,860,860,860,636056000,1,7.68658
gauss3,e_runtime_by_cells,linear_stencil,routine,860,860,860,636056000,1,9.78865
gauss3,e_runtime_by_cells,linear_stencil,apply,880,880,880,681472000,1,8.25665
gauss3,e_runtime_by_cells,linear_stencil,routine,880,880,880,681472000,1,10.7629
gauss3,e_runtime_by_cells,linear_stencil,apply,900,900,900,729000000,1,8.82192
gauss3,e_runtime_by_cells,linear_stencil,routine,900,900,900,729000000,1,11.2452
gauss3,e_runtime_by_cells,linear_stencil,apply,920,920,920,778688000,1,9.43487
gauss3,e_runtime_by_cells,linear_stencil,routine,920,920,920,778688000,1,11.8922
gauss3,e_runtime_by_cells,linear_stencil,apply,940,940,940,830584000,1,10.4062
gauss3,e_runtime_by_cells,linear_stencil,routine,940,940,940,830584000,1,13.178
gauss3,e_runtime_by_cells,linear_stencil,apply,960,960,960,884736000,1,10.7185
gauss3,e_runtime_by_cells,linear_stencil,routine,960,960,960,884736000,1,13.6242
gauss3,e_runtime_by_cells,linear_stencil,apply,980,980,980,941192000,1,11.4239
gauss3,e_runtime_by_cells,linear_stencil,routine,980,980,980,941192000,1,14.8247
gauss3,e_runtime_by_cells,linear_stencil,apply,1000,1000,1000,1000000000,1,12.1297
gauss3,e_runtime_by_cells,linear_stencil,routine,1000,1000,1000,1000000000,1,15.4516
gauss3,e_runtime_by_cells,linear_stencil,apply,1020,1020,1020,1061208000,1,12.8516
gauss3,e_runtime_by_cells,linear_stencil,routine,1020,1020,1020,1061208000,1,16.5115
gauss3,e_runtime_by_cells,linear_stencil,apply,1040,1040,1040,1124864000,1,13.7568
gauss3,e_runtime_by_cells,linear_stencil,routine,1040,1040,1040,1124864000,1,17.1262
gauss3,e_runtime_by_cells,linear_stencil,apply,1060,1060,1060,1191016000,1,14.561
gauss3,e_runtime_by_cells,linear_stencil,routine,1060,1060,1060,1191016000,1,18.2213
gauss3,e_runtime_by_cells,linear_stencil,apply,1080,1080,1080,1259712000,1,15.3814
gauss3,e_runtime_by_cells,linear_stencil,routine,1080,1080,1080,1259712000,1,19.7473
