node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_cells,linear_stencil,overall,400,400,400,64000000,1,1813.7872,2.9309,1813.7872,2.9309,10676.6356,17.0767,2.9628,1.4076,47.5091,37065.0827,59.7656
gauss3,e_memory_by_cells,linear_stencil,apply,420,420,420,74088000,1,1767.3403,2.7601,1767.3403,2.7601,10417.0139,16.2696,2.7304,1.3089,47.9369,36492.0327,56.8447
gauss3,e_memory_by_cells,linear_stencil,overall,420,420,420,74088000,1,1824.9091,3.3450,1824.9091,3.3450,10441.5625,17.0884,2.5610,1.2250,47.8328,38254.0363,69.9811
gauss3,e_memory_by_cells,linear_stencil,apply,440,440,440,85184000,1,1721.3790,3.0541,1721.3790,3.0541,11096.1057,19.9169,2.9068,1.4102,48.5160,38031.5220,67.7298
gauss3,e_memory_by_cells,linear_stencil,overall,440,440,440,85184000,1,1769.3922,3.7297,1769.3922,3.7297,11427.9061,24.1774,3.1512,1.5167,48.1298,37971.0590,79.0253
gauss3,e_memory_by_cells,linear_stencil,apply,460,460,460,97336000,1,1764.9722,3.5547,1764.9722,3.5547,11130.5599,22.5740,2.8829,1.4268,49.4924,38443.1853,78.3596
gauss3,e_memory_by_cells,linear_stencil,overall,460,460,460,97336000,1,1803.7782,4.3075,1803.7782,4.3075,11471.9190,27.5496,3.1423,1.5289,48.6543,38157.0934,91.2982
gauss3,e_memory_by_cells,linear_stencil,apply,480,480,480,110592000,1,2388.5615,5.5486,2388.5615,5.5486,11046.8451,25.6110,2.8784,1.4302,49.6861,38090.4804,88.4748
gauss3,e_memory_by_cells,linear_stencil,overall,480,480,480,110592000,1,2338.2128,6.4482,2338.2128,6.4482,11373.6267,30.9829,3.1101,1.5209,48.9012,38244.0780,104.9327
gauss3,e_memory_by_cells,linear_stencil,apply,500,500,500,125000000,1,2180.2060,5.7029,2180.2060,5.7029,11118.3591,29.0994,2.8933,1.4487,50.0708,37618.4608,97.7401
gauss3,e_memory_by_cells,linear_stencil,overall,500,500,500,125000000,1,2176.4047,6.7311,2176.4047,6.7311,11423.8551,35.3530,3.1396,1.5435,49.1622,38370.1303,118.7358
gauss3,e_memory_by_cells,linear_stencil,apply,520,520,520,140608000,1,2465.0346,7.2224,2465.0346,7.2224,11155.0725,33.0484,2.9209,1.4720,50.3956,38522.5744,113.2571
gauss3,e_memory_by_cells,linear_stencil,overall,520,520,520,140608000,1,2407.3459,8.3502,2407.3459,8.3502,11531.0014,39.8710,3.1476,1.5587,49.5195,38511.2542,133.1033
gauss3,e_memory_by_cells,linear_stencil,apply,540,540,540,157464000,1,2511.5687,8.1443,2511.5687,8.1443,11120.3979,36.6071,2.8889,1.4675,50.8001,38426.5058,126.5006
gauss3,e_memory_by_cells,linear_stencil,overall,540,540,540,157464000,1,2450.5694,9.4952,2450.5694,9.4952,11510.0697,44.7778,3.1564,1.5766,49.9489,38763.3396,149.6921
gauss3,e_memory_by_cells,linear_stencil,apply,560,560,560,175616000,1,2365.5689,8.6955,2365.5689,8.6955,11226.4206,41.3021,2.9223,1.4849,50.8148,38293.2537,140.5539
gauss3,e_memory_by_cells,linear_stencil,overall,560,560,560,175616000,1,2331.4358,10.1097,2331.4358,10.1097,11569.7349,50.2449,3.1756,1.5834,49.8630,38668.7940,167.3591
gauss3,e_memory_by_cells,linear_stencil,apply,580,580,580,195112000,1,2472.3667,10.1034,2472.3667,10.1034,11097.8764,45.4876,2.8966,1.4772,50.9960,38334.6700,156.4961
gauss3,e_memory_by_cells,linear_stencil,overall,580,580,580,195112000,1,2462.7008,11.8202,2462.7008,11.8202,11458.7253,54.8128,3.1180,1.5624,50.1100,38579.0190,184.3369
gauss3,e_memory_by_cells,linear_stencil,apply,600,600,600,216000000,1,2348.7288,10.6344,2348.7288,10.6344,11060.7162,50.1397,2.8839,1.4705,50.9888,38346.5551,173.8617
gauss3,e_memory_by_cells,linear_stencil,overall,600,600,600,216000000,1,2319.9321,12.3828,2319.9321,12.3828,11496.0638,60.9958,3.1340,1.5660,49.9679,38679.9840,205.3144
gauss3,e_memory_by_cells,linear_stencil,apply,620,620,620,238328000,1,2394.9278,11.9121,2394.9278,11.9121,11157.3897,55.4157,2.8886,1.4762,51.1038,38401.2067,191.4414
gauss3,e_memory_by_cells,linear_stencil,overall,620,620,620,238328000,1,2386.3561,13.8985,2386.3561,13.8985,11527.2170,67.5168,3.1440,1.5746,50.0818,38702.1182,226.5783
gauss3,e_memory_by_cells,linear_stencil,apply,640,640,640,262144000,1,2671.3054,14.7039,2671.3054,14.7039,10963.0520,59.8251,2.8350,1.4475,51.0597,38323.5574,211.1811
gauss3,e_memory_by_cells,linear_stencil,overall,640,640,640,262144000,1,2592.6530,16.7849,2592.6530,16.7849,11573.7650,75.0683,3.1779,1.5827,49.8036,38636.9949,250.4334
gauss3,e_memory_by_cells,linear_stencil,apply,660,660,660,287496000,1,2352.1218,14.1311,2352.1218,14.1311,11144.0111,66.9942,2.8946,1.4795,51.1114,38359.4365,230.6995
gauss3,e_memory_by_cells,linear_stencil,overall,660,660,660,287496000,1,2330.8083,16.4585,2330.8083,16.4585,11537.2735,81.3330,3.1394,1.5717,50.0648,38701.0059,274.4760
gauss3,e_memory_by_cells,linear_stencil,apply,680,680,680,314432000,1,2377.0273,15.6300,2377.0273,15.6300,11175.2561,73.5357,2.9049,1.4851,51.1245,38280.9790,251.8838
gauss3,e_memory_by_cells,linear_stencil,overall,680,680,680,314432000,1,2355.1226,18.1702,2355.1226,18.1702,11567.3356,89.7736,3.1682,1.5840,49.9955,38661.4837,299.2223
gauss3,e_memory_by_cells,linear_stencil,apply,700,700,700,343000000,1,2481.2626,17.8204,2481.2626,17.8204,11139.3937,79.9715,2.8959,1.4800,51.1088,38339.3932,275.3283
gauss3,e_memory_by_cells,linear_stencil,overall,700,700,700,343000000,1,2437.4562,20.6734,2437.4562,20.6734,11536.1784,97.3385,3.1490,1.5774,50.0935,38643.7592,326.1452
gauss3,e_memory_by_cells,linear_stencil,apply,720,720,720,373248000,1,2343.7689,18.3383,2343.7689,18.3383,11159.2642,87.1894,2.9013,1.4824,51.0947,38355.7507,299.8803
gauss3,e_memory_by_cells,linear_stencil,overall,720,720,720,373248000,1,2333.0151,21.3861,2333.0151,21.3861,11519.6599,104.6303,3.1105,1.5592,50.1263,38569.6999,353.3654
gauss3,e_memory_by_cells,linear_stencil,apply,740,740,740,405224000,1,2457.0839,20.8416,2457.0839,20.8416,11156.3194,94.6243,2.9001,1.4809,51.0640,38470.8241,326.7127
gauss3,e_memory_by_cells,linear_stencil,overall,740,740,740,405224000,1,2407.3993,24.0455,2407.3993,24.0455,11567.4853,115.4741,3.1618,1.5804,49.9831,38666.0962,385.4736
