time_id,impl_id,n_cells,factor,n_tiling_levels_rows,n_tiling_cols,runtime
time_apply,linear_stencil_notiling,4362471432,1,0,1,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,2,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,4,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,8,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,16,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,32,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,64,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,128,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,256,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,512,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,1024,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,2048,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,4096,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,8192,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,16384,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,32768,14.56317434366792
time_apply,linear_stencil_notiling,4362471432,1,0,65536,14.56317434366792
time_apply,linear_stencil_tiling,4362471432,1,1,1,39.68218099698424
time_apply,linear_stencil_tiling,4362471432,1,1,2,17.29487692657858
time_apply,linear_stencil_tiling,4362471432,1,1,4,13.2172348247841
time_apply,linear_stencil_tiling,4362471432,1,1,8,13.2723737815395
time_apply,linear_stencil_tiling,4362471432,1,1,16,13.12703660596162
time_apply,linear_stencil_tiling,4362471432,1,1,32,12.92996260710061
time_apply,linear_stencil_tiling,4362471432,1,1,64,12.89264206495136
time_apply,linear_stencil_tiling,4362471432,1,1,128,12.68505009636283
time_apply,linear_stencil_tiling,4362471432,1,1,256,12.60266981367022
time_apply,linear_stencil_tiling,4362471432,1,1,512,12.56563620176166
time_apply,linear_stencil_tiling,4362471432,1,1,1024,12.55097305960953
time_apply,linear_stencil_tiling,4362471432,1,1,2048,12.53034082334489
time_apply,linear_stencil_tiling,4362471432,1,1,4096,12.53915941994637
time_apply,linear_stencil_tiling,4362471432,1,1,8192,12.53321395535022
time_apply,linear_stencil_tiling,4362471432,1,1,16384,12.54566952493042
time_apply,linear_stencil_tiling,4362471432,1,1,32768,12.54739859700203
time_apply,linear_stencil_tiling,4362471432,1,1,65536,12.53237171377987
time_apply,linear_stencil_tiling,4362471432,1,2,1,75.71869571600109
time_apply,linear_stencil_tiling,4362471432,1,2,2,47.20479589607567
time_apply,linear_stencil_tiling,4362471432,1,2,4,30.32698651961982
time_apply,linear_stencil_tiling,4362471432,1,2,8,32.44659323617816
time_apply,linear_stencil_tiling,4362471432,1,2,16,24.47540177963674
time_apply,linear_stencil_tiling,4362471432,1,2,32,15.01033879816532
time_apply,linear_stencil_tiling,4362471432,1,2,64,14.04942281078547
time_apply,linear_stencil_tiling,4362471432,1,2,128,13.40743023809046
time_apply,linear_stencil_tiling,4362471432,1,2,256,13.68057144246995
time_apply,linear_stencil_tiling,4362471432,1,2,512,12.00005425605923
time_apply,linear_stencil_tiling,4362471432,1,2,1024,11.15088031347841
time_apply,linear_stencil_tiling,4362471432,1,2,2048,10.87219512462616
time_apply,linear_stencil_tiling,4362471432,1,2,4096,10.74767930619419
time_apply,linear_stencil_tiling,4362471432,1,2,8192,10.72567079868168
time_apply,linear_stencil_tiling,4362471432,1,2,16384,11.01358823571354
time_apply,linear_stencil_tiling,4362471432,1,2,32768,10.99061461631209
time_apply,linear_stencil_tiling,4362471432,1,2,65536,10.97774457465857
time_apply,linear_stencil_tiling,4362471432,1,4,1,236.9270308222622
time_apply,linear_stencil_tiling,4362471432,1,4,2,143.3955595949665
time_apply,linear_stencil_tiling,4362471432,1,4,4,86.83434263989329
time_apply,linear_stencil_tiling,4362471432,1,4,8,67.79830085393041
time_apply,linear_stencil_tiling,4362471432,1,4,16,38.459109114483
time_apply,linear_stencil_tiling,4362471432,1,4,32,18.67158821038902
time_apply,linear_stencil_tiling,4362471432,1,4,64,16.33477909862995
time_apply,linear_stencil_tiling,4362471432,1,4,128,14.771832392551
time_apply,linear_stencil_tiling,4362471432,1,4,256,13.56872610654682
time_apply,linear_stencil_tiling,4362471432,1,4,512,11.51297358609736
time_apply,linear_stencil_tiling,4362471432,1,4,1024,10.90619150362909
time_apply,linear_stencil_tiling,4362471432,1,4,2048,10.78050618525594
time_apply,linear_stencil_tiling,4362471432,1,4,4096,10.69870923366398
time_apply,linear_stencil_tiling,4362471432,1,4,8192,10.60449351277202
time_apply,linear_stencil_tiling,4362471432,1,4,16384,10.94519389700145
time_apply,linear_stencil_tiling,4362471432,1,4,32768,10.98166044894606
time_apply,linear_stencil_tiling,4362471432,1,4,65536,10.88294972386211
time_apply,linear_stencil_tiling,4362471432,1,8,1,297.1427098242566
time_apply,linear_stencil_tiling,4362471432,1,8,2,170.4286902565509
time_apply,linear_stencil_tiling,4362471432,1,8,4,91.53696210868657
time_apply,linear_stencil_tiling,4362471432,1,8,8,71.63802884984761
time_apply,linear_stencil_tiling,4362471432,1,8,16,37.70953679922968
time_apply,linear_stencil_tiling,4362471432,1,8,32,19.29785064049065
time_apply,linear_stencil_tiling,4362471432,1,8,64,15.66317898035049
time_apply,linear_stencil_tiling,4362471432,1,8,128,14.32488127797842
time_apply,linear_stencil_tiling,4362471432,1,8,256,12.53040258213878
time_apply,linear_stencil_tiling,4362471432,1,8,512,11.87850817106664
time_apply,linear_stencil_tiling,4362471432,1,8,1024,11.32601811550558
time_apply,linear_stencil_tiling,4362471432,1,8,2048,10.87812410946935
time_apply,linear_stencil_tiling,4362471432,1,8,4096,10.6465180395171
time_apply,linear_stencil_tiling,4362471432,1,8,8192,10.24462649319321
time_apply,linear_stencil_tiling,4362471432,1,8,16384,10.92929363250732
time_apply,linear_stencil_tiling,4362471432,1,8,32768,11.0405761487782
time_apply,linear_stencil_tiling,4362471432,1,8,65536,11.21497033908963
