node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,mflop_s,mbytes_s
gauss3,roofline,linear_stencil,apply,128,2050,2050,2050,72592.7764,225383.7920
gauss3,roofline,linear_stencil,overall,128,2050,2050,2050,331611.6421,178959.9752
