node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_threads,several_coeff,apply,1024,1024,1024,1073741824,128,937671.4829,287.3387,937671.4829,287.3387,219659.5977,67.5064,5.5553,4.9619,11.1648,220688.1147,69.1946
gauss3,e_memory_by_threads,several_coeff,overall,1024,1024,1024,1073741824,128,189420.5797,323.5621,189420.5797,323.5621,76203.0531,131.4217,5.9046,5.2393,10.8611,98720.6283,168.8377

gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,1,40276.9096,180.0817,40276.9096,180.0817,17924.8320,78.2046,22.6015,22.3781,99.0118,19227.4754,86.4580
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,1,18821.1934,338.6811,18821.1934,338.6811,16395.5164,295.6214,6.4663,4.9792,77.0024,18627.2823,333.4956
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,2,67747.1715,177.9363,67747.1715,177.9363,29728.8380,78.4846,22.6648,22.4347,49.4923,32523.5421,86.2597
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,2,31196.1635,336.2465,31196.1635,336.2465,27138.4142,293.5391,6.4177,5.3820,41.9317,33667.3745,363.2475
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,4,75019.6247,176.2794,75019.6247,176.2794,33345.7211,78.2963,22.5928,22.3734,24.7573,36698.0341,86.2511
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,4,32092.4675,332.7971,32092.4675,332.7971,28137.8188,291.7548,6.3652,5.8626,23.0257,40183.4582,416.9281
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,8,75477.1871,175.5397,75477.1871,175.5397,33793.6852,78.5382,22.6868,22.3711,24.6522,37040.2835,86.2045
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,8,32249.9557,331.7567,32249.9557,331.7567,28457.3441,292.4761,6.3606,5.8213,22.8802,40399.2549,415.1459
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,16,142443.2517,175.5138,142443.2517,175.5138,63707.8424,78.5280,22.6351,22.3206,24.6527,69864.6778,86.0670
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,16,59646.7827,331.9754,59646.7827,331.9754,52633.7962,293.1670,6.3328,5.7916,22.8631,74709.3751,415.5793
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,32,231107.1689,175.6269,231107.1689,175.6269,103411.2352,78.7077,22.6532,22.2847,24.5934,113096.0567,86.0359
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,32,87716.0376,332.7817,87716.0376,332.7817,77536.9053,294.1846,6.2840,5.7474,22.8603,109888.2593,416.9331
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,64,459566.8314,176.6318,459566.8314,176.6318,205550.5348,79.3179,22.4362,21.9400,24.4518,225118.5528,86.1419
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,64,143353.2224,335.0811,143353.2224,335.0811,128267.6656,299.1727,6.2787,5.6695,22.5481,178698.0314,416.8260
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1024,1024,1024,1073741824,128,755217.4345,291.1625,755217.4345,291.1625,211963.4128,81.3474,23.0205,21.9436,11.9159,223027.1846,84.7703
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1024,1024,1024,1073741824,128,188922.7457,542.7583,188922.7457,542.7583,106235.1790,306.0671,6.0900,5.7066,11.5958,153363.9926,441.0712

gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,1,19381.2604,203.0924,19381.2604,203.0924,16986.3250,186.5331,8.0986,6.5610,81.0140,41690.9863,458.1385
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,1,10675.3422,268.8617,10675.3422,268.8617,16783.6248,422.3385,9.0570,5.5413,61.1827,39714.7332,993.5562
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,2,34134.3355,203.1630,34134.3355,203.1630,26509.1751,161.0865,6.9938,6.1461,43.9400,48732.5862,311.7503
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,2,19081.3281,266.3377,19081.3281,266.3377,22065.3102,308.7751,6.6168,4.8445,36.6074,48090.0270,671.1071
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,4,37784.1107,200.2276,37784.1107,200.2276,32284.1126,150.4807,6.5334,5.9678,22.8359,41907.2488,208.2416
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,4,23555.6970,266.7530,23555.6970,266.7530,27136.5508,313.0984,6.6964,5.2699,19.6745,45321.9051,517.2441
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,8,44468.8742,200.2254,44468.8742,200.2254,32435.4249,143.6681,6.2359,5.8568,23.5743,42134.4050,188.7558
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,8,26343.1632,267.4440,26343.1632,267.4440,31906.8834,322.4594,6.8567,5.3209,19.4021,45185.7771,457.0925
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,16,83115.4492,200.1040,83115.4492,200.1040,61348.3597,146.6808,6.3654,5.8948,23.1618,74046.5595,176.2963
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,16,51638.4177,268.6848,51638.4177,268.6848,58319.3761,321.5306,6.3416,4.9316,19.4581,74452.0555,421.1591
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,32,132944.7983,200.3620,132944.7983,200.3620,101214.4493,152.2885,6.5999,5.9658,22.5991,114874.1888,172.7671
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,32,72368.9532,268.9705,72368.9532,268.9705,92599.9816,358.2050,7.4960,5.5924,18.6514,106228.4171,410.2646
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,64,264879.8516,200.4237,264879.8516,200.4237,202275.7828,152.2510,6.5890,5.9623,22.6226,230445.6541,172.5965
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,64,98681.5167,272.7872,98681.5167,272.7872,174020.7851,440.7748,8.3375,5.6667,17.0601,171629.5899,472.5788
gauss3,e_memory_by_threads,one_coeff,apply,1600,1600,1600,4096000000,128,276055.7993,214.2514,276055.7993,214.2514,179036.2117,139.1358,4.5829,4.3963,11.9581,213976.4752,164.6532
gauss3,e_memory_by_threads,one_coeff,overall,1600,1600,1600,4096000000,128,239063.4386,718.4428,239063.4386,718.4428,149093.2550,458.3597,2.2838,1.5675,8.6554,146892.1883,485.0172

gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,1,23807.5066,573.2579,23807.5066,573.2579,18867.1428,293.3663,6.3805,5.7725,90.4714,41392.4171,614.3939
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,1,16163.2866,475.7060,16163.2866,475.7060,19671.1909,580.1474,8.0353,5.7444,71.4903,40768.4485,1206.7985
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,2,46506.3539,569.6037,46506.3539,569.6037,26147.5377,328.9899,7.1553,5.8103,40.6018,42854.4466,532.9769
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,2,26827.4441,668.2783,26827.4441,668.2783,24730.8406,610.4031,8.4522,6.0788,35.9592,45982.4021,1149.4541
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,4,62798.2570,514.1378,62798.2570,514.1378,32217.5922,263.8620,5.7382,5.2274,22.7748,47387.9068,430.1887
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,4,32359.3347,662.3953,32359.3347,662.3953,24678.5786,509.2306,7.0395,5.7721,20.4991,51587.4780,1005.1967
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,8,69999.8018,532.1997,69999.8018,532.1997,34707.2119,263.5352,5.6924,5.1652,22.6918,41498.9197,312.9513
