node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory,one_coeff,overall,420,420,420,74088000,128,319639.8285,395.9827,319639.8285,395.9827,130078.9955,214.2530,1464.5890,624.4938,645.4379,66402.5612,102.1934
gauss3,e_memory,one_coeff,apply,440,440,440,85184000,128,150116.0684,3.1454,150116.0684,3.1454,139000.4571,2.8518,550.1857,523.1912,1520.8307,177024.7455,3.5809
gauss3,e_memory,one_coeff,overall,440,440,440,85184000,128,311629.8911,429.9174,311629.8911,429.9174,132210.3313,200.3074,257.6567,103.0091,652.2418,69470.5572,94.9195
gauss3,e_memory,one_coeff,apply,460,460,460,97336000,128,190149.6666,4.3826,190149.6666,4.3826,143011.0750,3.2521,510.1951,482.0268,1509.7212,48741.4024,2.1408
gauss3,e_memory,one_coeff,overall,460,460,460,97336000,128,330481.2403,366.2567,330481.2403,366.2567,139064.7940,227.7191,175.6929,70.1878,638.4428,69710.2023,85.5160
gauss3,e_memory,one_coeff,apply,480,480,480,110592000,128,197215.4756,5.4225,197215.4756,5.4225,140049.2646,3.8091,511.0541,486.8152,1520.4911,173236.4136,4.8048
gauss3,e_memory,one_coeff,overall,480,480,480,110592000,128,316016.8141,440.5777,316016.8141,440.5777,139413.8840,173.9687,720.6118,294.6711,665.8737,71312.7766,73.6135
gauss3,e_memory,one_coeff,apply,500,500,500,125000000,128,216264.9850,5.4144,216264.9850,5.4144,143194.3264,3.6694,396.0885,285.7027,1116.9880,209429.4730,5.1285
gauss3,e_memory,one_coeff,overall,500,500,500,125000000,128,321489.4104,368.9901,321489.4104,368.9901,135929.1234,219.1443,907.6965,365.1314,618.6877,71331.9269,74.6113
gauss3,e_memory,one_coeff,apply,520,520,520,140608000,128,260524.3519,6.6899,260524.3519,6.6899,144757.2609,3.9977,276.4798,195.2758,1116.9424,216977.2647,5.6014
gauss3,e_memory,one_coeff,overall,520,520,520,140608000,128,305196.9815,479.8186,305196.9815,479.8186,137256.8803,151.5781,169.0346,70.8877,660.4079,70205.1796,109.9846
gauss3,e_memory,one_coeff,apply,540,540,540,157464000,128,224238.0901,8.0054,224238.0901,8.0054,146616.3345,3.5746,391.9192,336.4415,1327.7460,187227.8216,6.5394
gauss3,e_memory,one_coeff,overall,540,540,540,157464000,128,254098.0051,344.3606,254098.0051,344.3606,131270.4499,149.6529,237.6408,102.4605,674.6549,60471.4220,94.2274
gauss3,e_memory,one_coeff,apply,560,560,560,175616000,128,222390.4813,8.8232,222390.4813,8.8232,170553.0013,4.8670,475.0280,443.0508,1482.4397,181442.1866,7.2526
gauss3,e_memory,one_coeff,overall,560,560,560,175616000,128,247571.6160,368.8625,247571.6160,368.8625,134486.6803,196.1409,199.2482,83.5995,670.4521,67938.9078,99.7978
gauss3,e_memory,one_coeff,apply,580,580,580,195112000,128,222739.3854,9.6284,222739.3854,9.6284,154030.3752,6.6586,591.7446,564.7178,1525.2557,164610.8008,7.8652
gauss3,e_memory,one_coeff,overall,580,580,580,195112000,128,251790.1037,457.1636,251790.1037,457.1636,136579.9527,219.6634,241.0058,100.6971,661.9101,74328.9395,120.2019
gauss3,e_memory,one_coeff,apply,600,600,600,216000000,128,233013.0064,10.8549,233013.0064,10.8549,151261.4502,7.1933,602.8650,583.1814,1547.6478,188088.9990,8.8984
gauss3,e_memory,one_coeff,overall,600,600,600,216000000,128,291627.2435,439.2848,291627.2435,439.2848,129954.8204,178.3657,210.7064,91.6305,697.7777,69759.1722,100.4534
gauss3,e_memory,one_coeff,apply,620,620,620,238328000,128,239630.9058,11.7734,239630.9058,11.7734,160739.5722,7.8668,640.9603,624.3791,1558.5768,200297.1373,9.8247
gauss3,e_memory,one_coeff,overall,620,620,620,238328000,128,257725.1347,407.8935,257725.1347,407.8935,133037.5090,215.6244,764.6198,333.7965,683.9421,73408.4055,116.4195
gauss3,e_memory,one_coeff,apply,640,640,640,262144000,128,268038.4287,13.1626,268038.4287,13.1626,162373.3166,8.9568,596.5445,567.1941,1521.0028,175946.0321,9.2508
gauss3,e_memory,one_coeff,overall,640,640,640,262144000,128,273306.0495,427.6777,273306.0495,427.6777,136612.8504,185.4846,287.6312,129.3238,696.6853,76705.4005,106.9384
gauss3,e_memory,one_coeff,apply,660,660,660,287496000,128,247636.0879,13.9331,247636.0879,13.9331,171635.8269,9.2267,643.9649,620.0483,1540.4493,209512.5656,11.6851
gauss3,e_memory,one_coeff,overall,660,660,660,287496000,128,313193.8113,482.0493,313193.8113,482.0493,121506.4703,151.1405,165.1162,71.9752,703.6977,76763.4985,113.1292
gauss3,e_memory,one_coeff,apply,680,680,680,314432000,128,230595.5342,15.8451,230595.5342,15.8451,158393.2103,10.9231,640.5799,602.2261,1503.1497,189244.6863,13.0286
gauss3,e_memory,one_coeff,overall,680,680,680,314432000,128,306526.2186,449.2839,306526.2186,449.2839,134317.1905,236.4523,545.0822,241.1523,693.3796,76692.9457,118.8813
gauss3,e_memory,one_coeff,apply,700,700,700,343000000,128,243281.3052,17.8138,243281.3052,17.8138,165289.4603,11.0047,494.9980,462.4443,1485.3567,193833.2065,14.3320
gauss3,e_memory,one_coeff,overall,700,700,700,343000000,128,256867.2201,384.7687,256867.2201,384.7687,137203.6404,189.0263,678.5274,304.0171,718.4544,80926.2404,114.4210
gauss3,e_memory,one_coeff,apply,720,720,720,373248000,128,240300.2709,18.6673,240300.2709,18.6673,167849.5507,12.9940,643.0045,605.0207,1504.3980,195331.9939,14.9282
gauss3,e_memory,one_coeff,overall,720,720,720,373248000,128,251218.5420,384.4565,251218.5420,384.4565,138155.2990,199.5828,557.3133,236.9835,709.1207,75809.4325,111.4134
gauss3,e_memory,one_coeff,apply,740,740,740,405224000,128,286363.2330,21.9572,286363.2330,21.9572,170547.6316,14.5461,558.6728,516.9431,1470.2048,169430.5434,14.2276
gauss3,e_memory,one_coeff,overall,740,740,740,405224000,128,299494.0073,370.6177,299494.0073,370.6177,124293.9146,239.4612,215.6920,99.4605,730.9949,75670.5709,122.2578
gauss3,e_memory,one_coeff,apply,760,760,760,438976000,128,262877.3500,21.2772,262877.3500,21.2772,187661.1014,15.1116,738.1102,686.8732,1488.8915,218688.8011,17.1311
gauss3,e_memory,one_coeff,overall,760,760,760,438976000,128,268890.0031,389.9398,268890.0031,389.9398,136830.4014,208.0146,514.6415,234.4244,730.8220,80626.4330,130.2280
