node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,mflop_s,mbytes_s
gauss3,roofline,several_coeff_precalc,apply,128,1600,1600,1600,90827.9029,211139.6522
gauss3,roofline,several_coeff_precalc,overall,128,1600,1600,1600,272327.2331,190341.6432
