node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,tiling_cols,tiling_rows,tiling_levels,runtime
gauss3,cache,tiling,apply,16,2050,2050,2050,16,16,16,3.92487
gauss3,cache,tiling,routine,16,2050,2050,2050,16,16,16,6.85799
gauss3,cache,tiling,apply,16,2050,2050,2050,32,16,16,2.90998
gauss3,cache,tiling,routine,16,2050,2050,2050,32,16,16,5.84395
gauss3,cache,tiling,apply,16,2050,2050,2050,64,16,16,2.34864
gauss3,cache,tiling,routine,16,2050,2050,2050,64,16,16,5.24035
gauss3,cache,tiling,apply,16,2050,2050,2050,128,16,16,2.52443
gauss3,cache,tiling,routine,16,2050,2050,2050,128,16,16,5.41417
gauss3,cache,tiling,apply,16,2050,2050,2050,256,16,16,1.76046
gauss3,cache,tiling,routine,16,2050,2050,2050,256,16,16,4.65515
gauss3,cache,tiling,apply,16,2050,2050,2050,512,16,16,1.68756
gauss3,cache,tiling,routine,16,2050,2050,2050,512,16,16,4.60631
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,16,16,1.55223
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,16,16,4.49235
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,16,16,1.36053
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,16,16,4.2427
gauss3,cache,tiling,apply,16,2050,2050,2050,4,32,32,6.72523
gauss3,cache,tiling,routine,16,2050,2050,2050,4,32,32,9.59014
gauss3,cache,tiling,apply,16,2050,2050,2050,8,32,32,5.73737
gauss3,cache,tiling,routine,16,2050,2050,2050,8,32,32,8.67556
gauss3,cache,tiling,apply,16,2050,2050,2050,16,32,32,3.89125
gauss3,cache,tiling,routine,16,2050,2050,2050,16,32,32,6.77175
gauss3,cache,tiling,apply,16,2050,2050,2050,32,32,32,3.16606
gauss3,cache,tiling,routine,16,2050,2050,2050,32,32,32,6.07657
gauss3,cache,tiling,apply,16,2050,2050,2050,64,32,32,3.46041
gauss3,cache,tiling,routine,16,2050,2050,2050,64,32,32,6.33951
gauss3,cache,tiling,apply,16,2050,2050,2050,128,32,32,3.3374
gauss3,cache,tiling,routine,16,2050,2050,2050,128,32,32,6.29214
