node_id,bench_id,stencil_id,solver_id,region_id,obj_cols,obj_rows,obj_levels,threads,epsilon_solver,iter_max,iter,runtime,efficiency
gauss3,e_efficiency,stencil,cg_b4,routine,1024,1024,1024,64,1e-15,1000000,55,37.9618,0.214322769863389
gauss3,e_efficiency,stencil,cg_b4,apply,1024,1024,1024,128,1e-15,1000000,55,35.2848,0.11415879677651566
gauss3,e_efficiency,stencil,cg_b4,routine,1024,1024,1024,128,1e-15,1000000,55,35.773,0.11371814112598885

gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,1,1e-15,1000000,55,495.348,1.0
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,1,1e-15,1000000,55,500.464,1.0
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,2,1e-15,1000000,55,265.183,0.9339738972709413
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,2,1e-15,1000000,55,267.936,0.9339245192881883
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,4,1e-15,1000000,55,130.233,0.9508880237727765
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,4,1e-15,1000000,55,131.664,0.9502673471867785
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,8,1e-15,1000000,55,69.4381,0.891707866430677
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,8,1e-15,1000000,55,70.2253,0.8908185511489448
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,16,1e-15,1000000,55,47.9987,0.6450018437999363
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,16,1e-15,1000000,55,48.523,0.6446221379551964
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,32,1e-15,1000000,55,40.1602,0.3854469101249496
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,32,1e-15,1000000,55,40.5867,0.3853355902302971
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,64,1e-15,1000000,55,37.4384,0.20673459602974487
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,64,1e-15,1000000,55,37.9214,0.20620942264789802
gauss3,e_efficiency,stencil,cg_b4_hard_part,apply,1024,1024,1024,128,1e-15,1000000,55,35.5012,0.10900775889265717
gauss3,e_efficiency,stencil,cg_b4_hard_part,routine,1024,1024,1024,128,1e-15,1000000,55,36.0047,0.10859346140920491
