time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,2,16384,36680170000,29938880000,13117200000,24289900000,15025640000,612955200,12.7394,15.6092,2879.0239,1.8518,15025640000,1.1455,612955200,0.0467,0.0408
time_apply,linear_stencil_tiling,2,32768,36724940000,29957530000,13115560000,24285710000,14984910000,605938200,12.7477,15.6277,2880.8549,1.8517,14984910000,1.1425,605938200,0.0462,0.0404
time_apply,linear_stencil_tiling,2,65536,36677320000,29936430000,13114740000,24234470000,14980440000,602297800,12.7380,15.6074,2879.1521,1.8479,14980440000,1.1423,602297800,0.0459,0.0402
time_apply,linear_stencil_tiling,4,4,152880100000,122585100000,23045880000,139764400000,42804370000,15381370000,52.1627,65.0555,2930.7586,6.0646,42804370000,1.8574,15381370000,0.6674,0.3593
time_apply,linear_stencil_tiling,4,8,140561500000,111050300000,18079810000,127538200000,44384310000,14405720000,47.2540,59.8137,2974.4879,7.0542,44384310000,2.4549,14405720000,0.7968,0.3246
time_apply,linear_stencil_tiling,4,16,88724540000,71295230000,15596770000,75858140000,30600250000,7947127000,30.3382,37.7559,2924.4330,4.8637,30600250000,1.9620,7947127000,0.5095,0.2597
time_apply,linear_stencil_tiling,4,32,66527690000,53946190000,14355230000,53897920000,20783290000,4298107000,22.9557,28.3098,2898.0645,3.7546,20783290000,1.4478,4298107000,0.2994,0.2068
time_apply,linear_stencil_tiling,4,64,54869460000,44628330000,13734470000,42314320000,16526640000,2079015000,18.9909,23.3491,2889.2139,3.0809,16526640000,1.2033,2079015000,0.1514,0.1258
time_apply,linear_stencil_tiling,4,128,48490990000,39484310000,13424090000,35953370000,15884110000,1471162000,16.8014,20.6350,2885.9722,2.6783,15884110000,1.1833,1471162000,0.1096,0.0926
time_apply,linear_stencil_tiling,4,256,41245600000,33287640000,13268900000,29701370000,15512120000,1165193000,14.1639,17.5514,2911.7956,2.2384,15512120000,1.1691,1165193000,0.0878,0.0751
time_apply,linear_stencil_tiling,4,512,38790540000,32452290000,13191310000,26853100000,15492260000,1036782000,13.8091,16.5067,2808.9667,2.0357,15492260000,1.1744,1036782000,0.0786,0.0669
time_apply,linear_stencil_tiling,4,1024,35765730000,29984970000,13152510000,23850590000,15117400000,689664000,12.7599,15.2204,2802.8812,1.8134,15117400000,1.1494,689664000,0.0524,0.0456
time_apply,linear_stencil_tiling,4,2048,35054360000,29379770000,13133110000,23169290000,14996910000,593975600,12.5009,14.9168,2803.8842,1.7642,14996910000,1.1419,593975600,0.0452,0.0396
time_apply,linear_stencil_tiling,4,4096,34400310000,28408770000,13123410000,22508690000,14952740000,555956900,12.0872,14.6385,2845.6186,1.7152,14952740000,1.1394,555956900,0.0424,0.0372
time_apply,linear_stencil_tiling,4,8192,34571900000,28360410000,13118560000,22693130000,14927980000,541587100,12.0682,14.7117,2864.6515,1.7298,14927980000,1.1379,541587100,0.0413,0.0363
time_apply,linear_stencil_tiling,4,16384,35606240000,29779820000,13116140000,23851540000,14995610000,587587600,12.6710,15.1516,2809.7673,1.8185,14995610000,1.1433,587587600,0.0448,0.0392
time_apply,linear_stencil_tiling,4,32768,35453270000,29412210000,13114920000,23654940000,14952390000,577036200,12.5149,15.0866,2832.6628,1.8037,14952390000,1.1401,577036200,0.0440,0.0386
time_apply,linear_stencil_tiling,4,65536,35599440000,29789000000,13114320000,23782750000,14951460000,575559400,12.6760,15.1488,2808.3639,1.8135,14951460000,1.1401,575559400,0.0439,0.0385
time_apply,linear_stencil_tiling,8,4,162032600000,133802600000,21703650000,149506700000,45781160000,16907570000,56.9370,68.9502,2845.8023,6.8886,45781160000,2.1094,16907570000,0.7790,0.3693
time_apply,linear_stencil_tiling,8,8,136732100000,109297100000,17408670000,124430900000,43246550000,13591790000,46.5084,58.1868,2939.7338,7.1476,43246550000,2.4842,13591790000,0.7807,0.3143
time_apply,linear_stencil_tiling,8,16,90513710000,75148810000,15261170000,78342730000,31204890000,7799239000,31.9778,38.5166,2830.4735,5.1335,31204890000,2.0447,7799239000,0.5111,0.2499
time_apply,linear_stencil_tiling,8,32,64286400000,53764100000,14187410000,52378030000,21515280000,4062365000,22.8754,27.3560,2809.9195,3.6919,21515280000,1.5165,4062365000,0.2863,0.1888
time_apply,linear_stencil_tiling,8,64,49470900000,41491600000,13650530000,37527680000,16955640000,2022095000,17.6559,21.0515,2801.9234,2.7492,16955640000,1.2421,2022095000,0.1481,0.1193
time_apply,linear_stencil_tiling,8,128,44633110000,37014230000,13382100000,32901710000,16066840000,1488262000,15.7507,18.9928,2833.7109,2.4586,16066840000,1.2006,1488262000,0.1112,0.0926
time_apply,linear_stencil_tiling,8,256,39993380000,33518260000,13247880000,28214860000,15616070000,1188750000,14.2626,17.0187,2803.9379,2.1298,15616070000,1.1788,1188750000,0.0897,0.0761
time_apply,linear_stencil_tiling,8,512,39568620000,33198400000,13180770000,27796700000,15509380000,1048145000,14.1266,16.8385,2800.8026,2.1089,15509380000,1.1767,1048145000,0.0795,0.0676
