node_id,impl_id,region_id,obj_levels_rows,obj_cols,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
gauss3,linear_stencil_tiling,time_apply,2050,2050,4,256,74760300000,61405330000,26229870000,46521630000,29556110000,1400992000,26.1349,31.8130,2861.0908,1.7736,29556110000,1.1268,1400992000,0.0534,0.0474
gauss3,linear_stencil_tiling,time_apply,2050,2050,4,512,66160180000,53761070000,26074680000,38430850000,29318430000,1048774000,22.8860,28.1533,2891.9845,1.4739,29318430000,1.1244,1048774000,0.0402,0.0358
gauss3,linear_stencil_tiling,time_apply,2050,2050,4,1024,62971470000,51274890000,25997080000,35390370000,29175190000,842215400,21.8548,26.7964,2886.0643,1.3613,29175190000,1.1222,842215400,0.0324,0.0289
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,4,531543200000,430284900000,43096190000,497974200000,179514300000,65336610000,183.2327,226.1950,2902.9398,11.5549,179514300000,4.1654,65336610000,1.5161,0.3640
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,8,417904900000,334907000000,34506210000,385137900000,138566300000,49319070000,142.5503,177.8324,2932.3774,11.1614,138566300000,4.0157,49319070000,1.4293,0.3559
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,16,217545200000,175119600000,30211170000,186780700000,81627390000,23670950000,74.6374,92.5728,2919.3158,6.1825,81627390000,2.7019,23670950000,0.7835,0.2900
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,32,102797400000,83675990000,28063640000,74588500000,43919300000,7880913000,35.6337,43.7437,2887.0088,2.6578,43919300000,1.5650,7880913000,0.2808,0.1794
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,64,84223450000,70383690000,26989890000,55877790000,32400100000,3447044000,29.9508,35.8399,2812.0772,2.0703,32400100000,1.2005,3447044000,0.1277,0.1064
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,128,96782580000,78683500000,26453020000,63282100000,31971470000,3075616000,33.4811,41.1844,2890.5325,2.3922,31971470000,1.2086,3075616000,0.1163,0.0962
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,256,86950560000,68964510000,26184580000,54793750000,31072770000,2406381000,29.3462,37.0006,2962.8534,2.0926,31072770000,1.1867,2406381000,0.0919,0.0774
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,512,85298790000,69502320000,26050360000,52089040000,30712360000,2131177000,29.5742,36.2978,2884.0762,1.9996,30712360000,1.1790,2131177000,0.0818,0.0694
