node_id,bench_id,scale,impl_id,region_id,obj_cols,obj_rows,obj_levels,threads,runtime,efficiency
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,954,954,954,102,1.06751,6.917205716583268e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,954,954,954,102,2.79862,9.318913621433307e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,954,954,954,101,1.06555,6.998542564593845e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,954,954,954,101,2.79627,9.419089298130426e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,950,950,950,100,1.01322,7.433597836600147e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,950,950,950,100,2.72291,9.769584745731589e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,946,946,946,99,1.00015,7.606808473678443e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,946,946,946,99,2.68777,9.997285497049242e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,942,942,942,98,0.986918,7.78745714705078e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,942,942,942,98,2.65388,0.00010228266476530473
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,938,938,938,97,0.994291,7.809398287814825e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,938,938,938,97,2.64058,0.00010385761078888245
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,938,938,938,96,0.995205,7.88349929578998e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,938,938,938,96,2.63747,0.00010506320135078946
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,934,934,934,95,0.983544,8.060934956164967e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,934,934,934,95,2.60796,0.00010737047145540657
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,930,930,930,94,0.978727,8.186785139854595e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,930,930,930,94,2.58494,0.00010947906276766125
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,926,926,926,93,0.955979,8.471718464774394e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,926,926,926,93,2.53741,0.00011272903667370923
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,922,922,922,92,0.938215,8.725947908945502e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,922,922,922,92,2.50075,0.00011562487775406507
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,918,918,918,91,0.942368,8.7829597564648e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,918,918,918,91,2.48506,0.00011763352741035373
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,918,918,918,90,0.918222,9.114075293822677e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,918,918,918,90,2.45736,0.00012028129555475977
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,914,914,914,89,0.925606,9.142956377658395e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,914,914,914,89,2.44785,0.00012210531920582452
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,910,910,910,88,0.904918,9.458252771873454e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,910,910,910,88,2.40673,0.00012560280773271014
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,906,906,906,87,0.877209,9.869166685568047e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,906,906,906,87,2.35993,0.00012956598995167936
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,902,902,902,86,0.848701,0.00010319286028993748
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,902,902,902,86,2.31272,0.00013374818093986985
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,898,898,898,85,0.881227,0.00010055324597875195
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,898,898,898,85,2.3253,0.0001345895912228909
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,894,894,894,84,0.853198,0.00010509297847348335
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,894,894,894,84,2.27784,0.00013902947738291747
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,890,890,890,83,0.808323,0.00011226381246945463
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,890,890,890,83,2.21472,0.00014471464096524808
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,890,890,890,82,0.808251,0.00011364300591119801
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,890,890,890,82,2.21349,0.00014656084988400942
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,886,886,886,81,0.807201,0.00011519565682242224
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,886,886,886,81,2.19474,0.0001496377928058522
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,882,882,882,80,0.808731,0.00011641494514245157
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,882,882,882,80,2.17506,0.00015287911597840976
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,878,878,878,79,0.78319,0.00012173307445483022
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,878,878,878,79,2.13294,0.0001578714730591744
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,874,874,874,78,0.763367,0.00012649542866987427
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,874,874,874,78,2.09556,0.00016274763590516897
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,870,870,870,77,0.785772,0.00012448457505038804
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,870,870,870,77,2.09692,0.00016475431746400596
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,866,866,866,76,0.751503,0.00013187379509007808
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,866,866,866,76,2.04635,0.00017104716613533982
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,862,862,862,75,0.751627,0.00013361006634052974
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,862,862,862,75,2.02881,0.00017482629390299403
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,858,858,858,74,0.737756,0.00013796163911513704
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,858,858,858,74,1.99951,0.00017978526360579964
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,854,854,854,73,0.727042,0.00014191243610391563
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,854,854,854,73,1.96808,0.00018515855519850234
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,850,850,850,72,0.696883,0.00015011028473295454
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,850,850,850,72,1.92225,0.00019220603748500744
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,846,846,846,71,0.687507,0.00015430050320409543
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,846,846,846,71,1.89376,0.0001978454666831676
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,842,842,842,70,0.679717,0.0001582984431125643
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,842,842,842,70,1.86877,0.00020335530092750083
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,838,838,838,69,0.683095,0.00015979847053760322
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,838,838,838,69,1.85606,0.00020771520535864735
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,834,834,834,68,0.673737,0.0001644006401869677
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,834,834,834,68,1.83032,0.00021373392116582634
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,830,830,830,67,0.657463,0.00017098448148299407
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,830,830,830,67,1.79569,0.0002211073729360094
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,826,826,826,66,0.645635,0.00017675504336698357
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,826,826,826,66,1.76924,0.00022781310653504364
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,822,822,822,65,0.626808,0.0001848650991642147
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,822,822,822,65,1.73477,0.00023591422671415986
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,818,818,818,64,0.622422,0.00018907665337986125
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,818,818,818,64,1.71343,0.0002425845015553597
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,814,814,814,63,0.606283,0.000197190902703015
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,814,814,814,63,1.67862,0.0002515454399144573
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,810,810,810,62,0.604723,0.0002008882979373174
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,810,810,810,62,1.66635,0.0002574847285500374
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,806,806,806,61,0.60242,0.00020496211727453372
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,806,806,806,61,1.64427,0.00026522009318600404
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,802,802,802,60,0.577368,0.00021741968149718494
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,802,802,802,60,1.60568,0.00027612081278129304
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,798,798,798,59,0.57373,0.00022250677768170056
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,798,798,798,59,1.58751,0.0002840147597095078
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,790,790,790,58,0.532871,0.00024369843280307412
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,790,790,790,58,1.51579,0.00030258149215920413
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,786,786,786,57,0.541721,0.00024392273915066723
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,786,786,786,57,1.50804,0.00030947222303657075
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,782,782,782,56,0.513175,0.0002620893039829075
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,782,782,782,56,1.46458,0.0003243457900168356
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,778,778,778,55,0.514052,0.000266399296003305
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,778,778,778,55,1.45255,0.0003329780542681992
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,774,774,774,54,0.515912,0.0002703543900395301
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,774,774,774,54,1.43852,0.0003424520160123419
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,770,770,770,53,0.520407,0.0002730761782931074
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,770,770,770,53,1.43115,0.0003507101756800673
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,762,762,762,52,0.503654,0.0002875856318944232
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,762,762,762,52,1.38629,0.0003690217442570846
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,758,758,758,51,0.466663,0.0003164676125816619
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,758,758,758,51,1.33619,0.0003903651133329195
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,754,754,754,50,0.451888,0.00033335118436426725
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,754,754,754,50,1.30702,0.00040705880552707686
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,750,750,750,49,0.452641,0.00033958839931217283
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,750,750,750,49,1.29305,0.00041985370769474794
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,742,742,742,48,0.425044,0.00036917109365932314
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,742,742,742,48,1.23959,0.0004470849904672781
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,738,738,738,47,0.413625,0.00038743439877059985
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,738,738,738,47,1.2135,0.0004664141879038126
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,734,734,734,46,0.385467,0.0004247738570301118
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,734,734,734,46,1.17502,0.0004921599854359555
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,726,726,726,45,0.368671,0.0004539952664811957
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,726,726,726,45,1.12989,0.0005231915397860755
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,722,722,722,44,0.349128,0.0004903040249890116
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,722,722,722,44,1.09955,0.0005498468381693337
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,718,718,718,43,0.313433,0.0005588427748254346
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,718,718,718,43,1.05217,0.0005879698015021447
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,710,710,710,42,0.322324,0.0005563663831897038
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,710,710,710,42,1.03429,0.0006123754551661619
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,706,706,706,41,0.31255,0.0005877592268163924
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,706,706,706,41,1.01418,0.0006397502920778483
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,698,698,698,40,0.307519,0.0006123093207248984
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,698,698,698,40,0.987485,0.0006734709894327509
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,694,694,694,39,0.285948,0.0006753845866901389
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,694,694,694,39,0.951337,0.0007169855390832815
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,686,686,686,38,0.264969,0.0007480388470468541
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,686,686,686,38,0.910476,0.0007688777483888706
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,682,682,682,37,0.270782,0.0007517636107793503
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,682,682,682,37,0.904288,0.0007950618219691789
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,674,674,674,36,0.255702,0.0008182126503160364
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,674,674,674,36,0.867097,0.0008521954419299237
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,670,670,670,35,0.256112,0.0008402428848093246
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,670,670,670,35,0.856912,0.0008869622218250782
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,662,662,662,34,0.230854,0.0009595917256590491
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,662,662,662,34,0.809263,0.0009668092340518109
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,658,658,658,33,0.2362,0.0009662933312806302
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,658,658,658,33,0.80464,0.0010018295401820953
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,650,650,650,32,0.226043,0.001041266208199325
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,650,650,650,32,0.774449,0.0010734123551066628
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,642,642,642,31,0.230502,0.0010540626475566233
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,642,642,642,31,0.75869,0.001131053994172468
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,634,634,634,30,0.197475,0.0012713626197408954
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,634,634,634,30,0.70676,0.001254631463768936
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,630,630,630,29,0.205411,0.0012643901990273831
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,630,630,630,29,0.704399,0.0013022448924544185
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,622,622,622,28,0.20233,0.001329488247629403
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,622,622,622,28,0.682754,0.0013915124836847742
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,614,614,614,27,0.186038,0.0014994686469868958
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,614,614,614,27,0.648986,0.0015181346718544748
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,606,606,606,26,0.17665,0.0016398941845021664
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,606,606,606,26,0.620685,0.0016484083032332142
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,598,598,598,25,0.175797,0.001713765308850549
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,598,598,598,25,0.602301,0.00176667148153498
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,590,590,590,24,0.161675,0.0019411035513633317
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,590,590,590,24,0.570965,0.001941282156816384
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,582,582,582,23,0.164899,0.0019858980872876865
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,582,582,582,23,0.559435,0.002067435273398899
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,574,574,574,22,0.157062,0.0021797616691034576
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,574,574,574,22,0.535129,0.0022595826087133787
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,566,566,566,21,0.151897,0.0023612084253834915
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,566,566,566,21,0.514947,0.002459957275307204
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,554,554,554,20,0.141912,0.0026537114549861885
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,554,554,554,20,0.482496,0.0027566757030110093
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,546,546,546,19,0.13093,0.0030276805203262496
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,546,546,546,19,0.457188,0.0030623933123446164
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,538,538,538,18,0.124585,0.003358648490767125
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,538,538,538,18,0.435579,0.0033928913520216127
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,526,526,526,17,0.121393,0.00364972590240449
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,526,526,526,17,0.412081,0.003797325968324046
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,518,518,518,16,0.110488,0.004260570152414742
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,518,518,518,16,0.388849,0.004275711780151164
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,506,506,506,15,0.100867,0.004978086655364655
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,506,506,506,15,0.361144,0.004910635831321209
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,494,494,494,14,0.100059,0.005376734869284265
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,494,494,494,14,0.343029,0.005539244287134408
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,482,482,482,13,0.0904941,0.0064023468423313286
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,482,482,482,13,0.314762,0.006501053543263213
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,470,470,470,12,0.0871352,0.007203240864005974
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,470,470,470,12,0.296092,0.007486890335886593
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,454,454,454,11,0.0783116,0.008743474204912869
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,454,454,454,11,0.265889,0.00909528548994642
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,442,442,442,10,0.0725236,0.010385405578322092
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,442,442,442,10,0.245444,0.010838195270611625
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,426,426,426,9,0.0652155,0.012832446955776533
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,426,426,426,9,0.220062,0.013431416802739429
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,410,410,410,8,0.0570235,0.01651045183126255
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,410,410,410,8,0.195661,0.016994763902872825
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,394,394,394,7,0.0506182,0.021256809380251148
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,394,394,394,7,0.174124,0.0218249227972184
